P,F,Kr,DU,DTh,DRa,DPa
40.0,0.0,1.0,0.009,0.005,0.0002,0.0001
39.0,0.0025,1.0,0.009,0.005,0.0002,0.0001
38.0,0.005,1.0,0.008999999999999998,0.005,0.0002,0.0001
37.0,0.0075,1.0,0.008999999999999992,0.004999999999999998,0.0002,0.0001
36.0,0.01,1.0,0.008999999999999949,0.004999999999999987,0.0002,0.0001
35.0,0.0125,1.0,0.008999999999999625,0.004999999999999906,0.0002,0.0001
34.0,0.015,1.0,0.008999999999997234,0.004999999999999309,0.0002,0.0001
33.0,0.0175,1.0,0.008999999999979563,0.004999999999994891,0.0002,0.0001
32.0,0.02,1.0,0.008999999999848993,0.004999999999962249,0.0002,0.0001
31.0,0.0225,1.0,0.008999999998884211,0.004999999999721053,0.0002,0.0001
30.0,0.024999999999999994,1.0,0.008999999991755384,0.004999999997938847,0.0002,0.0001
29.0,0.027500000057453455,1.0,0.008999999939080081,0.0049999999847700205,0.0002,0.0001
28.0,0.03000000029807709,1.0,0.00899999954985935,0.004999999887464838,0.0002,0.0001
27.0,0.03250000209609041,1.0,0.008999996673887888,0.004999999168471972,0.0002,0.0001
26.0,0.03500001537773195,1.0,0.00899997542330159,0.004999993855825398,0.0002,0.0001
25.0,0.037500113514492645,1.0,0.008999818408525189,0.004999954602131298,0.0002,0.0001
24.0,0.04000083853317746,1.0,0.008998658599478133,0.004999664649869533,0.0002,0.0001
23.0,0.042506189230089586,1.0,0.00899010950737346,0.004997527376843365,0.0002,0.0001
22.0,0.04504537483703977,1.0,0.008928055160151634,0.004982013790037909,0.0002,0.0001
21.0,0.047817320044852674,1.0,0.008523188311911529,0.004880797077977883,0.0002,0.0001
20.0,0.051732867968645124,1.0,0.006999999999999999,0.0045000000000000005,0.0002,0.0001
19.0,0.05781732004485268,1.0,0.00547681168808847,0.004119202922022117,0.0002,0.0001
18.0,0.06504537483703979,1.0,0.005071944839848366,0.004017986209962091,0.0002,0.0001
17.0,0.07250618923008958,1.0,0.005009890492626539,0.004002472623156635,0.0002,0.0001
16.0,0.08000083853317749,1.0,0.005001341400521866,0.004000335350130467,0.0002,0.0001
15.0,0.0875001135144933,1.0,0.00500018159147481,0.004000045397868702,0.0002,0.0001
14.0,0.09500001537772895,1.0,0.005000024576698409,0.004000006144174602,0.0002,0.0001
13.0,0.10250000209606619,1.0,0.005000003326112111,0.004000000831528028,0.0002,0.0001
12.0,0.11000000029858317,1.0,0.005000000450140649,0.004000000112535162,0.0002,0.0001
11.0,0.11750000005532019,1.0,0.0050000000609199185,0.00400000001522998,0.0002,0.0001
10.0,0.12500000002239814,1.0,0.005000000008244615,0.004000000002061153,0.0002,0.0001
9.0,0.1325000000179426,1.0,0.005000000001115787,0.004000000000278947,0.0002,0.0001
8.0,0.14000000001733964,1.0,0.005000000000151005,0.004000000000037751,0.0002,0.0001
7.0,0.14750000001725805,1.0,0.005000000000020436,0.004000000000005109,0.0002,0.0001
6.0,0.155000000017247,1.0,0.005000000000002766,0.004000000000000691,0.0002,0.0001
5.0,0.16250000001724552,1.0,0.005000000000000375,0.004000000000000094,0.0002,0.0001
4.0,0.1700000000172453,1.0,0.00500000000000005,0.004000000000000012,0.0002,0.0001
3.0,0.17750000001724525,1.0,0.005000000000000007,0.004000000000000002,0.0002,0.0001
2.0,0.18500000001724526,1.0,0.005000000000000001,0.004,0.0002,0.0001
1.0,0.19250000001724527,1.0,0.005,0.004,0.0002,0.0001
0.0,0.20000000001724527,1.0,0.005,0.004,0.0002,0.0001
